,Genus
otu67,Bacteroides
otu457,Bacteroides
otu229,Bacteroides
otu1100,Bacteroides
otu382,Bacteroides
otu3371,Bacteroides
otu4184,Bacteroides
otu1098,Bacteroides
otu567,Lachnospiraceae UCG-004
otu3224,Bacteroides
otu3668,Lachnospiraceae UCG-004
otu4136,Bacteroides
otu507,Bacteroides
otu275,Bacteroides
otu3848,Paraprevotella
otu43,Bacteroides
otu4059,Bacteroides
otu3487,Bacteroides
otu88,Bacteroides
otu2954,Bacteroides
otu1529,Bacteroides
otu4011,Bacteroides
otu1845,Bacteroides
otu2271,Bacteroides
otu1996,Bacteroides
otu2354,Bacteroides
otu631,Bacteroides
otu1534,Bacteroides
otu3168,Bacteroides
otu2077,Bacteroides
otu3350,Bacteroides
otu3308,unidentified
otu2087,Bacteroides
otu2005,Bacteroides
otu3818,Bacteroides
otu195,Bacteroides
otu57,Bacteroides
otu671,Bacteroides
otu1590,Bacteroides
otu1252,Bacteroides
otu418,Bacteroides
otu286,Bacteroides
otu942,Bacteroides
otu415,Bacteroides
otu1596,Bacteroides
otu1927,Bacteroides
otu3609,Bacteroides
otu2387,Bacteroides
otu3975,Bacteroides
otu3289,Bacteroides
otu504,Bacteroides
otu41,Bacteroides
otu771,Bacteroides
otu2651,Bacteroides
otu822,Bacteroides
otu1634,Bacteroides
otu3273,Bacteroides
otu683,Bacteroides
otu1379,Bacteroides
otu120,Bacteroides
otu2520,Bacteroides
otu2282,Bacteroides
otu3133,Lachnospiraceae UCG-004
otu472,Lachnospiraceae UCG-004
otu3590,Lachnospiraceae UCG-004
otu562,Lachnospiraceae UCG-004
otu3481,Lachnospiraceae UCG-004
otu3321,Lachnospiraceae UCG-004
otu1315,Bacteroides
otu4048,Bacteroides
otu3418,Bacteroides
otu3618,Bacteroides
otu3671,Bacteroides
otu4054,Bacteroides
otu1069,Bacteroides
otu344,Bacteroides
otu363,Bacteroides
otu133,Bacteroides
otu4081,Bacteroides
otu4175,Bacteroides
otu1509,Bacteroides
otu1558,Bacteroides
otu3092,Bacteroides
otu3893,Bacteroides
otu4203,unidentified
otu4126,Bacteroides
otu2287,Bacteroides
otu2980,Bacteroides
otu3623,Bacteroides
otu42,Bacteroides
otu201,Bacteroides
otu1715,Bacteroides
otu1625,Bacteroides
otu3206,Bacteroides
otu1274,Bacteroides
otu3019,Bacteroides
otu141,Bacteroides
otu1900,Bacteroides
otu499,Bacteroides
otu354,Bacteroides
otu125,Bacteroides
otu25,Bacteroides
otu9,Bacteroides
otu1140,Bacteroides
otu227,Bacteroides
otu4010,Bacteroides
otu3119,unclassified_Prevotellaceae
otu908,unidentified
otu1578,unidentified
otu2321,Odoribacter
otu2424,Odoribacter
otu3173,Odoribacter
otu2966,Odoribacter
otu2083,Odoribacter
otu1741,Odoribacter
otu515,Odoribacter
otu1450,Odoribacter
otu1607,Odoribacter
otu3575,Prevotellaceae UCG-004
otu3357,Sanguibacteroides
otu3745,Butyricimonas
otu3462,Butyricimonas
otu3112,Butyricimonas
otu2630,Butyricimonas
otu3655,Butyricimonas
otu3684,Butyricimonas
otu2953,Butyricimonas
otu4045,Butyricimonas
otu2604,Butyricimonas
otu3516,Butyricimonas
otu2807,Butyricimonas
otu2453,Butyricimonas
otu2086,Butyricimonas
otu2686,Butyricimonas
otu1924,Butyricimonas
otu2146,Butyricimonas
otu3100,Butyricimonas
otu3543,Butyricimonas
otu2245,Butyricimonas
otu2289,Butyricimonas
otu4209,Butyricimonas
otu3485,Butyricimonas
otu3348,unidentified
otu2156,unidentified
otu1616,unidentified
otu1666,unidentified
otu746,CAG-873
otu2036,unidentified
otu1846,unidentified
otu2101,unidentified
otu3990,Coprobacter
otu478,Coprobacter
otu1074,Coprobacter
otu1782,Coprobacter
otu1564,Coprobacter
otu2795,Coprobacter
otu1082,Barnesiella
otu2935,Barnesiella
otu373,Barnesiella
otu692,Barnesiella
otu1630,Barnesiella
otu741,Barnesiella
otu743,Barnesiella
otu1836,Barnesiella
otu1172,Barnesiella
otu3501,Barnesiella
otu4179,Parabacteroides
otu100,Parabacteroides
otu2530,Parabacteroides
otu3634,Parabacteroides
otu2979,Parabacteroides
otu3387,Parabacteroides
otu3556,Parabacteroides
otu3755,Parabacteroides
otu608,Parabacteroides
otu1640,Parabacteroides
otu1819,Parabacteroides
otu2441,unidentified
otu3082,Parabacteroides
otu533,Parabacteroides
otu2874,Parabacteroides
otu72,Parabacteroides
otu206,Parabacteroides
otu35,Parabacteroides
otu162,Parabacteroides
otu19,Parabacteroides
otu3805,Parabacteroides
otu3248,Parabacteroides
otu110,Parabacteroides
otu1951,Parabacteroides
otu3074,Parabacteroides
otu61,Parabacteroides
otu82,Parabacteroides
otu191,Parabacteroides
otu2051,Parabacteroides
otu444,Parabacteroides
otu1610,Parabacteroides
otu113,Parabacteroides
otu33,Parabacteroides
otu421,Parabacteroides
otu1875,Parabacteroides
otu1106,Parabacteroides
otu304,Parabacteroides
otu426,Parabacteroides
otu364,Parabacteroides
otu2569,Parabacteroides
otu2797,Parabacteroides
otu657,Parabacteroides
otu98,Parabacteroides
otu960,Parabacteroides
otu1012,Parabacteroides
otu1362,Parabacteroides
otu1569,Parabacteroides
otu3180,Parabacteroides
otu2118,Parabacteroides
otu2307,Parabacteroides
otu1226,Parabacteroides
otu2861,Parabacteroides
otu40,Parabacteroides
otu102,Parabacteroides
otu1963,Parabacteroides
otu174,Parabacteroides
otu2571,Parabacteroides
otu823,Parabacteroides
otu180,Parabacteroides
otu1026,Parabacteroides
otu449,Parabacteroides
otu146,Parabacteroides
otu707,Parabacteroides
otu12,Parabacteroides
otu130,Parabacteroides
otu86,Parabacteroides
otu153,Parabacteroides
otu207,Parabacteroides
otu270,Parabacteroides
otu3498,unidentified
otu3945,Porphyromonas
otu3699,Porphyromonas
otu3672,Porphyromonas
otu3663,Sphingobacterium
otu2397,unclassified_Weeksellaceae
otu1283,Cloacibacterium
otu3380,Cloacibacterium
otu3994,Capnocytophaga
otu185,Alistipes
otu3177,Alistipes
otu4138,Alistipes
otu3637,Alistipes
otu3934,Alistipes
otu3016,Alistipes
otu1428,Alistipes
otu2208,Alistipes
otu3624,Alistipes
otu1401,Alistipes
otu1697,Alistipes
otu3227,unclassified_Rikenellaceae
otu2473,unclassified_Rikenellaceae
otu3304,unclassified_Rikenellaceae
otu3510,unidentified
otu3915,Defluviitaleaceae UCG-011
otu1049,Butyricicoccus
otu3905,Intestinimonas
otu613,Bacteroides
otu30,Bacteroides
otu1409,Bacteroides
otu3765,Bacteroides
otu3798,Bacteroides
otu74,Bacteroides
otu1319,Bacteroides
otu1138,Bacteroides
otu410,Bacteroides
otu852,Bacteroides
otu1137,Bacteroides
otu2786,Bacteroides
otu3799,Bacteroides
otu2285,Bacteroides
otu601,Bacteroides
otu956,Bacteroides
otu95,Bacteroides
otu588,Bacteroides
otu846,Bacteroides
otu1053,Bacteroides
otu4180,Lachnospiraceae UCG-004
otu3251,Bacteroides
otu3667,Bacteroides
otu689,Bacteroides
otu1889,Bacteroides
otu312,Bacteroides
otu4099,Bacteroides
otu79,Bacteroides
otu1986,Bacteroides
otu1102,Bacteroides
otu121,Bacteroides
otu300,Bacteroides
otu367,Bacteroides
otu809,Bacteroides
otu271,Bacteroides
otu24,Bacteroides
otu92,Bacteroides
otu240,Bacteroides
otu435,Bacteroides
otu946,Bacteroides
otu235,Bacteroides
otu301,Bacteroides
otu339,Bacteroides
otu308,Bacteroides
otu105,Bacteroides
otu1142,Bacteroides
otu1550,Bacteroides
otu377,Bacteroides
otu1494,Bacteroides
otu341,Bacteroides
otu3340,Bacteroides
otu454,Bacteroides
otu1873,Bacteroides
otu1678,Bacteroides
otu2447,Bacteroides
otu1659,Bacteroides
otu2371,Bacteroides
otu2625,Bacteroides
otu3559,Bacteroides
otu56,Bacteroides
otu2192,Bacteroides
otu925,Bacteroides
otu284,Bacteroides
otu480,Bacteroides
otu716,Bacteroides
otu1163,Bacteroides
otu13,Bacteroides
otu1548,Bacteroides
otu68,Bacteroides
otu127,Bacteroides
otu2343,Bacteroides
otu223,Bacteroides
otu516,Bacteroides
otu511,Bacteroides
otu1688,Bacteroides
otu2446,Bacteroides
otu1441,unclassified_Prevotellaceae
otu2433,Prevotella
otu3021,unclassified_Prevotellaceae
otu3878,unclassified_Prevotellaceae
